Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2016-10-28,0.001684626,-0.000358039,-0.013340703,-0.007333715,0.018276234,0.019371542,0.133531393,-0.001940242,0.008365167,-0.003664224
2016-10-31,-0.004665401,0.000954826,0.00360944,-0.004214969,-0.003944778,-0.010183066,-0.133531393,-0.000138292,0.037868904,-0.001540482
2016-11-01,-0.012515801,-0.006945005,-0.010866769,0.001055409,0.001579779,0.021116773,0.133531393,-0.000694346,0.011739602,-0.013251369
2016-11-02,-0.015126425,-0.007720711,-0.012565746,-0.009539023,-0.038621051,-0.019811097,-0.133531393,-0.010045988,-0.014352905,0.002999866
2016-11-03,0.00275802,0.001815321,0.008394732,-0.003200003,-0.032516412,0.013394084,0,0.004337751,0.00383816,0.000239955
2016-11-04,0.001427251,-0.008131834,-0.001045605,0,0.011794576,-0.01448212,0,-0.00897587,-0.00019072,-0.005164382
2016-11-07,0.016267023,0.012353883,0.022240442,0.006389798,0.071892071,0.015768849,0,0.011068324,0.009950053,0.022502036
2016-11-08,0.001602026,0.00516181,-0.00358703,0.004237294,-0.002341008,0.002782374,0,0.006111651,-0.006205544,0.001059068
2016-11-09,0.010550882,0.009890053,0.030833708,0.008421102,0.00623055,-0.067864069,0,-0.008064218,0.020924986,-0.003180468
2016-11-10,0.01200656,0.016929632,0.088089245,0.012500163,0.009273637,0.011823901,0,0.001255343,-0.011466381,0.029641082
2016-11-11,-0.002154578,0.002328621,0.022088028,0.017445286,-0.004626068,0.011015078,-0.15415068,-0.009667418,0.002210129,-0.018961932
2016-11-14,0.006936568,0.007531338,0.032027303,0.006085211,-0.021875872,0.022984356,0,-0.016323058,-0.033460981,0.008831848
2016-11-15,0.004178066,-0.007066214,-0.00432718,0.021011278,0.046304568,0.013239291,0.15415068,0.007556403,-0.001020237,0.000925611
2016-11-16,-0.001455168,0.000116526,-0.008273264,0.006906786,-0.006051456,0.00473234,0,0.002836276,0.000615682,-0.013382797
2016-11-17,0.004939209,0.009256186,0.002619858,-0.005917177,0.041610758,-0.001933356,0,0.014342455,0.028811469,0.015345649
2016-11-18,0.005588398,0.005054032,0.008972744,0.013752673,0.018746043,0.002791499,-0.15415068,0.005151756,-0.019719018,0.003684906
2016-11-21,0.007561741,0.01906779,0.008244912,-0.005870858,-0.010772097,0.012782484,0,0.008574071,-0.006068851,0.016981205
2016-11-22,0.002571576,0.003367153,0.017137885,0.002939738,0.029874199,0.039839287,0,0.000550943,0.000742731,0.005410008
2016-11-23,0.001995065,0.006477839,0.007196016,-0.013793322,0.000700525,-0.003260107,0,-0.000412739,0.001547389,0.001796528
2016-11-24,-0.000474537,-0.00200592,-0.008470822,-0.001986098,-0.006322466,-0.002452057,0,-0.000138204,-0.003550195,0.000336974
2016-11-25,0.003980415,0.00089196,0.001274806,0.005946499,0,-0.009661995,0,0.003848338,0.016131956,0.011596521
2016-11-28,-0.001419741,-0.0051397,-0.026254481,-0.010929071,-0.012766131,-0.003103161,0.15415068,-0.005225901,0.000508725,-0.008014043
2016-11-29,0.004159126,0.009476743,0.006953493,-0.0009995,-0.010764367,0.001862818,-0.15415068,0.016140363,0.003840497,0.003235522
2016-11-30,-0.000282906,-0.03431489,0.01290851,0.033434776,-0.026317308,-0.009559356,0,0.005952199,-0.007870977,0.000445548
2016-12-01,0.022023922,0.002523135,0.002135508,-0.029442755,0.035653103,0.019028708,0,-0.000674274,-0.017634428,0.00477641
2016-12-02,0.001383681,0.004913087,-0.008568755,0.00199005,0.001428572,-0.012368685,0,0.0037718,-0.014895059,-0.007117575
2016-12-05,0.002485368,0.002163692,-0.007775771,0.003968259,0.014878064,0.010523262,0,-0.00107624,-0.01226173,0.003565209
2016-12-06,0.006598554,0.001136761,0.014636591,-0.002974717,-0.00140746,0.009193938,0,0.005235912,-0.004635032,0.000333723
2016-12-07,0.011804212,0.003515817,0.012317131,0.001984128,0.004917467,0.029457971,0,0.012243701,0.034939009,0.021044048
2016-12-08,0.008181048,0.01237648,0.027889681,0.023507449,0.031047682,0.023034252,0,0.007511694,-0.042059168,0.006863052
